trip_id;numero_train;destination;stop_sequence;gare;arrival_time;departure_time;derniere_maj;heure_detection_fin_trajet;arrival_delay_min;departure_delay_min
OCESN8371F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87391003:87485003:5:944:20260830;;8371;-1;Paris Montparnasse Hall 1 - 2;;2026-08-16 06:51:00;2026-08-16 09:48:48;2026-08-16 09:50:45;;5
OCESN8371F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87391003:87485003:5:944:20260830;;8371;-1;Poitiers;2026-08-16 08:16:00;2026-08-16 08:20:00;2026-08-16 09:48:48;2026-08-16 09:50:45;5;5
OCESN8371F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87391003:87485003:5:944:20260830;;8371;-1;La Rochelle;2026-08-16 09:44:00;;2026-08-16 09:48:48;2026-08-16 09:50:45;0;
OCESN8440F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:1004:20260816;;8440;-1;Bordeaux Saint-Jean;;2026-08-16 06:58:00;2026-08-16 10:10:44;2026-08-16 10:15:48;;0
OCESN8440F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:1004:20260816;;8440;-1;Angoulême;2026-08-16 07:34:00;2026-08-16 07:37:00;2026-08-16 10:10:44;2026-08-16 10:15:48;0;0
OCESN8440F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:1004:20260816;;8440;-1;Poitiers;2026-08-16 08:22:00;2026-08-16 08:25:00;2026-08-16 10:10:44;2026-08-16 10:15:48;5;5
OCESN8440F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:1004:20260816;;8440;-1;Paris Montparnasse Hall 1 - 2;2026-08-16 10:09:00;;2026-08-16 10:10:44;2026-08-16 10:15:48;5;
OCESN8530F1187_F:OUI:FR:Line::75E9980B-E8DF-4696-8E87-123692055B00::87677005:87391003:7:1156:20261025;;8530;-1;Bordeaux Saint-Jean;2026-08-16 09:55:00;2026-08-16 10:01:00;2026-08-16 12:20:44;2026-08-16 12:25:38;15;15
OCESN8530F1187_F:OUI:FR:Line::75E9980B-E8DF-4696-8E87-123692055B00::87677005:87391003:7:1156:20261025;;8530;-1;Paris Montparnasse Hall 1 - 2;2026-08-16 12:16:00;;2026-08-16 12:20:44;2026-08-16 12:25:38;20;
OCESN8375F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87391003:87485003:7:1227:20260830;;8375;-1;Paris Montparnasse Hall 1 - 2;;2026-08-16 09:08:00;2026-08-16 12:35:38;2026-08-16 12:40:49;;0
OCESN8375F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87391003:87485003:7:1227:20260830;;8375;-1;Poitiers;2026-08-16 10:50:00;2026-08-16 10:54:00;2026-08-16 12:35:38;2026-08-16 12:40:49;0;0
OCESN8375F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87391003:87485003:7:1227:20260830;;8375;-1;La Rochelle;2026-08-16 12:32:00;;2026-08-16 12:35:38;2026-08-16 12:40:49;5;
