trip_id;numero_train;destination;stop_sequence;gare;arrival_time;departure_time;derniere_maj;heure_detection_fin_trajet;arrival_delay_min;departure_delay_min
OCESN8330F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87575001:87391003:5:836:20260913;;8330;-1;Poitiers;;2026-09-13 06:32:00;2026-09-13 08:45:43;2026-09-13 08:50:40;;0
OCESN8330F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87575001:87391003:5:836:20260913;;8330;-1;Paris Montparnasse Hall 1 - 2;2026-09-13 08:41:00;;2026-09-13 08:45:43;2026-09-13 08:50:40;5;
OCESN8052F1187_F:OUI:FR:Line::18B0FAF0-44B1-4D0A-A8AD-2E32B7602EAD::87471003:87391003:4:946:20260913;;8052;-1;Rennes;;2026-09-13 07:48:00;2026-09-13 09:55:40;2026-09-13 10:01:02;;0
OCESN8052F1187_F:OUI:FR:Line::18B0FAF0-44B1-4D0A-A8AD-2E32B7602EAD::87471003:87391003:4:946:20260913;;8052;-1;Le Mans;2026-09-13 08:46:00;2026-09-13 08:49:00;2026-09-13 09:55:40;2026-09-13 10:01:02;0;0
OCESN8052F1187_F:OUI:FR:Line::18B0FAF0-44B1-4D0A-A8AD-2E32B7602EAD::87471003:87391003:4:946:20260913;;8052;-1;Paris Montparnasse Hall 1 - 2;2026-09-13 09:51:00;;2026-09-13 09:55:40;2026-09-13 10:01:02;5;
OCESN9884F1187_F:OUI:FR:Line::518E9B38-0951-4497-9594-67CB169CDB4E::87471003:88140010:8:1101:20260913;;9884;-1;Rennes;;2026-09-13 06:38:00;2026-09-13 11:10:43;2026-09-13 11:17:38;;0
OCESN9884F1187_F:OUI:FR:Line::518E9B38-0951-4497-9594-67CB169CDB4E::87471003:88140010:8:1101:20260913;;9884;-1;Massy TGV;2026-09-13 08:13:00;2026-09-13 08:36:00;2026-09-13 11:10:43;2026-09-13 11:17:38;0;10
OCESN9886F1187_F:OUI:FR:Line::CB8AE7F1-0F5A-4DDE-B53D-4CFE739A713F::87481002:88140010:9:1101:20260913;;9886;-1;Nantes;;2026-09-13 05:59:00;2026-09-13 11:10:43;2026-09-13 11:17:38;;0
OCESN9886F1187_F:OUI:FR:Line::CB8AE7F1-0F5A-4DDE-B53D-4CFE739A713F::87481002:88140010:9:1101:20260913;;9886;-1;Angers Saint-Laud;2026-09-13 06:37:00;2026-09-13 06:40:00;2026-09-13 11:10:43;2026-09-13 11:17:38;0;0
OCESN9886F1187_F:OUI:FR:Line::CB8AE7F1-0F5A-4DDE-B53D-4CFE739A713F::87481002:88140010:9:1101:20260913;;9886;-1;Le Mans;2026-09-13 07:22:00;2026-09-13 07:28:00;2026-09-13 11:10:43;2026-09-13 11:17:38;0;0
OCESN9886F1187_F:OUI:FR:Line::CB8AE7F1-0F5A-4DDE-B53D-4CFE739A713F::87481002:88140010:9:1101:20260913;;9886;-1;Massy TGV;2026-09-13 08:29:00;2026-09-13 08:36:00;2026-09-13 11:10:43;2026-09-13 11:17:38;10;10
OCESN5210F1187_F:OUI:FR:Line::518E9B38-0951-4497-9594-67CB169CDB4E::87223263:87471003:6:1117:20260913;;5210;-1;Massy TGV;2026-09-13 09:34:00;2026-09-13 09:42:00;2026-09-13 11:17:39;2026-09-13 11:32:51;0;0
OCESN5210F1187_F:OUI:FR:Line::518E9B38-0951-4497-9594-67CB169CDB4E::87223263:87471003:6:1117:20260913;;5210;-1;Le Mans;2026-09-13 10:30:00;2026-09-13 10:33:00;2026-09-13 11:17:39;2026-09-13 11:32:51;0;0
OCESN5210F1187_F:OUI:FR:Line::518E9B38-0951-4497-9594-67CB169CDB4E::87223263:87471003:6:1117:20260913;;5210;-1;Rennes;2026-09-13 11:22:00;;2026-09-13 11:17:39;2026-09-13 11:32:51;5;
OCESN8531F1187_F:OUI:FR:Line::75E9980B-E8DF-4696-8E87-123692055B00::87391003:87677005:8:1137:20260913;;8531;-1;Paris Montparnasse Hall 1 - 2;;2026-09-13 06:53:00;2026-09-13 11:40:48;2026-09-13 11:45:41;;10
OCESN8531F1187_F:OUI:FR:Line::75E9980B-E8DF-4696-8E87-123692055B00::87391003:87677005:8:1137:20260913;;8531;-1;Angoulême;2026-09-13 08:37:00;2026-09-13 08:40:00;2026-09-13 11:40:48;2026-09-13 11:45:41;10;10
OCESN8531F1187_F:OUI:FR:Line::75E9980B-E8DF-4696-8E87-123692055B00::87391003:87677005:8:1137:20260913;;8531;-1;Bordeaux Saint-Jean;2026-09-13 09:11:00;2026-09-13 09:14:00;2026-09-13 11:40:48;2026-09-13 11:45:41;5;2
OCESN8083F1187_F:OUI:FR:Line::18B0FAF0-44B1-4D0A-A8AD-2E32B7602EAD::87391003:87478107:4:1216:20261206;;8083;-1;Paris Montparnasse Hall 1 - 2;;2026-09-13 09:57:00;2026-09-13 12:25:34;2026-09-13 12:30:52;;0
OCESN8083F1187_F:OUI:FR:Line::18B0FAF0-44B1-4D0A-A8AD-2E32B7602EAD::87391003:87478107:4:1216:20261206;;8083;-1;Rennes;2026-09-13 11:25:00;2026-09-13 11:35:00;2026-09-13 12:25:34;2026-09-13 12:30:52;0;5
OCESN8375F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87391003:87485003:7:1226:20261212;;8375;-1;Paris Montparnasse Hall 1 - 2;;2026-09-13 09:13:00;2026-09-13 12:45:42;2026-09-13 12:50:41;;0
OCESN8375F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87391003:87485003:7:1226:20261212;;8375;-1;Poitiers;2026-09-13 10:50:00;2026-09-13 10:53:00;2026-09-13 12:45:42;2026-09-13 12:50:41;0;0
OCESN8375F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87391003:87485003:7:1226:20261212;;8375;-1;La Rochelle;2026-09-13 12:41:00;;2026-09-13 12:45:42;2026-09-13 12:50:41;15;
OCESN8530F1187_F:OUI:FR:Line::75E9980B-E8DF-4696-8E87-123692055B00::87677005:87391003:7:1156:20261206;;8530;-1;Bordeaux Saint-Jean;2026-09-13 10:50:00;2026-09-13 10:56:00;2026-09-13 13:10:43;2026-09-13 13:15:43;70;70
OCESN8530F1187_F:OUI:FR:Line::75E9980B-E8DF-4696-8E87-123692055B00::87677005:87391003:7:1156:20261206;;8530;-1;Paris Montparnasse Hall 1 - 2;2026-09-13 13:06:00;;2026-09-13 13:10:43;2026-09-13 13:15:43;70;
OCESN8868F1187_F:OUI:FR:Line::62C16406-4390-4C30-B97A-94317527CF00::87481002:87391003:4:1322:20261206;;8868;-1;Nantes;;2026-09-13 11:04:00;2026-09-13 13:30:57;2026-09-13 13:35:33;;0
OCESN8868F1187_F:OUI:FR:Line::62C16406-4390-4C30-B97A-94317527CF00::87481002:87391003:4:1322:20261206;;8868;-1;Angers Saint-Laud;2026-09-13 11:41:00;2026-09-13 11:44:00;2026-09-13 13:30:57;2026-09-13 13:35:33;0;0
OCESN8868F1187_F:OUI:FR:Line::62C16406-4390-4C30-B97A-94317527CF00::87481002:87391003:4:1322:20261206;;8868;-1;Le Mans;2026-09-13 12:23:00;2026-09-13 12:31:00;2026-09-13 13:30:57;2026-09-13 13:35:33;0;5
OCESN8868F1187_F:OUI:FR:Line::62C16406-4390-4C30-B97A-94317527CF00::87481002:87391003:4:1322:20261206;;8868;-1;Paris Montparnasse Hall 1 - 2;2026-09-13 13:27:00;;2026-09-13 13:30:57;2026-09-13 13:35:33;5;
OCESN8374F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87485003:87391003:5:1344:20260913;;8374;-1;La Rochelle;;2026-09-13 10:49:00;2026-09-13 13:55:34;2026-09-13 14:01:42;;0
OCESN8374F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87485003:87391003:5:1344:20260913;;8374;-1;Poitiers;2026-09-13 12:24:00;2026-09-13 12:24:00;2026-09-13 13:55:34;2026-09-13 14:01:42;10;5
OCESN8374F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87485003:87391003:5:1344:20260913;;8374;-1;Paris Montparnasse Hall 1 - 2;2026-09-13 13:54:00;;2026-09-13 13:55:34;2026-09-13 14:01:42;10;
OCESN8486F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:1344:20260913;;8486;-1;Bordeaux Saint-Jean;;2026-09-13 10:16:00;2026-09-13 13:55:34;2026-09-13 14:01:42;;0
OCESN8486F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:1344:20260913;;8486;-1;Angoulême;2026-09-13 11:30:00;2026-09-13 11:33:00;2026-09-13 13:55:34;2026-09-13 14:01:42;5;5
OCESN8486F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:1344:20260913;;8486;-1;Poitiers;2026-09-13 12:19:00;2026-09-13 12:24:00;2026-09-13 13:55:34;2026-09-13 14:01:42;10;5
OCESN8486F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:1344:20260913;;8486;-1;Paris Montparnasse Hall 1 - 2;2026-09-13 13:54:00;;2026-09-13 13:55:34;2026-09-13 14:01:42;10;
