trip_id;numero_train;destination;stop_sequence;gare;arrival_time;departure_time;derniere_maj;heure_detection_fin_trajet;arrival_delay_min;departure_delay_min
OCESN8370F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87485003:87391003:6:840:20261212;;8370;-1;La Rochelle;;2026-09-05 05:39:00;2026-09-05 08:45:42;2026-09-05 08:50:39;;0
OCESN8370F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87485003:87391003:6:840:20261212;;8370;-1;Poitiers;2026-09-05 07:13:00;2026-09-05 07:19:00;2026-09-05 08:45:42;2026-09-05 08:50:39;5;5
OCESN8370F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87485003:87391003:6:840:20261212;;8370;-1;Paris Montparnasse Hall 1 - 2;2026-09-05 08:45:00;;2026-09-05 08:45:42;2026-09-05 08:50:39;5;
OCESN8480F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:840:20260912;;8480;-1;Bordeaux Saint-Jean;;2026-09-05 05:18:00;2026-09-05 08:45:42;2026-09-05 08:50:39;;0
OCESN8480F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:840:20260912;;8480;-1;Angoulême;2026-09-05 06:22:00;2026-09-05 06:25:00;2026-09-05 08:45:42;2026-09-05 08:50:39;0;0
OCESN8480F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:840:20260912;;8480;-1;Poitiers;2026-09-05 07:09:00;2026-09-05 07:19:00;2026-09-05 08:45:42;2026-09-05 08:50:39;5;5
OCESN8480F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:840:20260912;;8480;-1;Paris Montparnasse Hall 1 - 2;2026-09-05 08:45:00;;2026-09-05 08:45:42;2026-09-05 08:50:39;5;
OCESN12276F1187_F:OUI:FR:Line::bfee86bc-5225-4c40-a6e6-785cfd43eae6::87581009:87391003:2:855:20261212;;12276;-1;Bordeaux Saint-Jean;;2026-09-05 06:46:00;2026-09-05 09:05:33;2026-09-05 09:10:38;;0
OCESN12276F1187_F:OUI:FR:Line::bfee86bc-5225-4c40-a6e6-785cfd43eae6::87581009:87391003:2:855:20261212;;12276;-1;Paris Montparnasse Hall 1 - 2;2026-09-05 09:00:00;;2026-09-05 09:05:33;2026-09-05 09:10:38;5;
OCESN8441F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87391003:87581009:5:902:20260912;;8441;-1;Paris Montparnasse Hall 1 - 2;;2026-09-05 06:06:00;2026-09-05 09:05:33;2026-09-05 09:10:38;;0
OCESN8441F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87391003:87581009:5:902:20260912;;8441;-1;Poitiers;2026-09-05 07:54:00;2026-09-05 07:57:00;2026-09-05 09:05:33;2026-09-05 09:10:38;15;15
OCESN8441F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87391003:87581009:5:902:20260912;;8441;-1;Angoulême;2026-09-05 08:32:00;2026-09-05 08:35:00;2026-09-05 09:05:33;2026-09-05 09:10:38;10;10
OCESN8441F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87391003:87581009:5:902:20260912;;8441;-1;Bordeaux Saint-Jean;2026-09-05 09:02:00;;2026-09-05 09:05:33;2026-09-05 09:10:38;0;
OCESN8478F1187_F:OUI:FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC::87582668:87391003:4:855:20261201;;;-1;Bordeaux Saint-Jean;2026-09-05 06:40:00;2026-09-05 06:46:00;2026-09-05 09:05:33;2026-09-05 09:10:38;0;0
OCESN8478F1187_F:OUI:FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC::87582668:87391003:4:855:20261201;;;-1;Paris Montparnasse Hall 1 - 2;2026-09-05 09:00:00;;2026-09-05 09:05:33;2026-09-05 09:10:38;5;
OCESN8331F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87391003:87575001:6:934:20261212;;8331;-1;Paris Montparnasse Hall 1 - 2;;2026-09-05 07:30:00;2026-09-05 09:40:45;2026-09-05 09:45:39;;0
OCESN8331F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87391003:87575001:6:934:20261212;;8331;-1;Poitiers;2026-09-05 09:39:00;;2026-09-05 09:40:45;2026-09-05 09:45:39;5;
