trip_id;numero_train;destination;stop_sequence;gare;arrival_time;departure_time;derniere_maj;heure_detection_fin_trajet;arrival_delay_min;departure_delay_min
OCESN8082F1187_F:OUI:FR:Line::18B0FAF0-44B1-4D0A-A8AD-2E32B7602EAD::87478107:87391003:6:845:20261212;;8082;-1;Rennes;2026-09-26 06:44:00;2026-09-26 06:48:00;2026-09-26 08:50:34;2026-09-26 08:55:32;0;0
OCESN8082F1187_F:OUI:FR:Line::18B0FAF0-44B1-4D0A-A8AD-2E32B7602EAD::87478107:87391003:6:845:20261212;;8082;-1;Le Mans;2026-09-26 07:45:00;2026-09-26 07:48:00;2026-09-26 08:50:34;2026-09-26 08:55:32;0;0
OCESN8082F1187_F:OUI:FR:Line::18B0FAF0-44B1-4D0A-A8AD-2E32B7602EAD::87478107:87391003:6:845:20261212;;8082;-1;Paris Montparnasse Hall 1 - 2;2026-09-26 08:50:00;;2026-09-26 08:50:34;2026-09-26 08:55:32;5;
OCESN8441F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87391003:87581009:5:905:20261212;;8441;-1;Paris Montparnasse Hall 1 - 2;;2026-09-26 06:06:00;2026-09-26 09:15:40;2026-09-26 09:20:37;;0
OCESN8441F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87391003:87581009:5:905:20261212;;8441;-1;Poitiers;2026-09-26 07:39:00;2026-09-26 07:42:00;2026-09-26 09:15:40;2026-09-26 09:20:37;0;0
OCESN8441F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87391003:87581009:5:905:20261212;;8441;-1;Angoulême;2026-09-26 08:22:00;2026-09-26 08:25:00;2026-09-26 09:15:40;2026-09-26 09:20:37;0;0
OCESN8441F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87391003:87581009:5:905:20261212;;8441;-1;Bordeaux Saint-Jean;2026-09-26 09:15:00;;2026-09-26 09:15:40;2026-09-26 09:20:37;10;
OCESN8440F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:1004:20261212;;8440;-1;Bordeaux Saint-Jean;;2026-09-26 06:57:00;2026-09-26 10:10:41;2026-09-26 10:15:38;;0
OCESN8440F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:1004:20261212;;8440;-1;Angoulême;2026-09-26 07:36:00;2026-09-26 07:39:00;2026-09-26 10:10:41;2026-09-26 10:15:38;0;0
OCESN8440F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:1004:20261212;;8440;-1;Poitiers;2026-09-26 08:18:00;2026-09-26 08:26:00;2026-09-26 10:10:41;2026-09-26 10:15:38;0;5
OCESN8440F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:1004:20261212;;8440;-1;Paris Montparnasse Hall 1 - 2;2026-09-26 10:09:00;;2026-09-26 10:10:41;2026-09-26 10:15:38;5;
OCESN5380F1187_F:OUI:FR:Line::8753D4FA-06CF-49A8-B412-13F55FD4A1A8::87722025:87471003:6:1030:20260926;;5380;-1;Massy TGV;2026-09-26 08:39:00;2026-09-26 08:43:00;2026-09-26 10:30:50;2026-09-26 10:35:40;5;1
OCESN5380F1187_F:OUI:FR:Line::8753D4FA-06CF-49A8-B412-13F55FD4A1A8::87722025:87471003:6:1030:20260926;;5380;-1;Le Mans;2026-09-26 09:29:00;2026-09-26 09:33:00;2026-09-26 10:30:50;2026-09-26 10:35:40;0;0
OCESN5380F1187_F:OUI:FR:Line::8753D4FA-06CF-49A8-B412-13F55FD4A1A8::87722025:87471003:6:1030:20260926;;5380;-1;Rennes;2026-09-26 10:30:00;;2026-09-26 10:30:50;2026-09-26 10:35:40;0;
OCESN8423F1187_F:OUI:FR:Line::bfee86bc-5225-4c40-a6e6-785cfd43eae6::87391003:87581009:3:1018:20261212;;8423;-1;Paris Montparnasse Hall 1 - 2;;2026-09-26 08:31:00;2026-09-26 10:50:42;2026-09-26 10:55:33;;30
OCESN8423F1187_F:OUI:FR:Line::bfee86bc-5225-4c40-a6e6-785cfd43eae6::87391003:87581009:3:1018:20261212;;8423;-1;Poitiers;2026-09-26 09:52:00;2026-09-26 09:55:00;2026-09-26 10:50:42;2026-09-26 10:55:33;35;35
OCESN8423F1187_F:OUI:FR:Line::bfee86bc-5225-4c40-a6e6-785cfd43eae6::87391003:87581009:3:1018:20261212;;8423;-1;Bordeaux Saint-Jean;2026-09-26 10:48:00;;2026-09-26 10:50:42;2026-09-26 10:55:33;30;
OCESN8803F1187_F:OUI:FR:Line::62C16406-4390-4C30-B97A-94317527CF00::87391003:87481002:4:954:20261223;;8803;-1;Paris Montparnasse Hall 1 - 2;;2026-09-26 08:28:00;2026-09-26 10:50:42;2026-09-26 10:55:33;;40
OCESN8803F1187_F:OUI:FR:Line::62C16406-4390-4C30-B97A-94317527CF00::87391003:87481002:4:954:20261223;;8803;-1;Sablé-sur-Sarthe;2026-09-26 09:46:00;2026-09-26 09:49:00;2026-09-26 10:50:42;2026-09-26 10:55:33;55;55
OCESN8803F1187_F:OUI:FR:Line::62C16406-4390-4C30-B97A-94317527CF00::87391003:87481002:4:954:20261223;;8803;-1;Angers Saint-Laud;2026-09-26 10:09:00;2026-09-26 10:12:00;2026-09-26 10:50:42;2026-09-26 10:55:33;55;55
OCESN8803F1187_F:OUI:FR:Line::62C16406-4390-4C30-B97A-94317527CF00::87391003:87481002:4:954:20261223;;8803;-1;Nantes;2026-09-26 10:49:00;;2026-09-26 10:50:42;2026-09-26 10:55:33;55;
OCESN8502F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87611004:87391003:5:1103:20261212;;8502;-1;Bordeaux Saint-Jean;2026-09-26 08:45:00;2026-09-26 08:51:00;2026-09-26 11:10:38;2026-09-26 11:15:41;5;5
OCESN8502F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87611004:87391003:5:1103:20261212;;8502;-1;Paris Montparnasse Hall 1 - 2;2026-09-26 11:08:00;;2026-09-26 11:10:38;2026-09-26 11:15:41;5;
OCESN5351F1187_F:OUI:FR:Line::3544567F-7F17-4253-85BB-D1E6A7B27A9A::87722025:87481002:6:1119:20260926;;5351;-1;Massy TGV;2026-09-26 08:39:00;2026-09-26 08:46:00;2026-09-26 11:20:42;2026-09-26 11:25:33;5;0
