trip_id;numero_train;destination;stop_sequence;gare;arrival_time;arrival_delay_sec;departure_time;departure_delay_sec;derniere_maj;heure_detection_passage
OCESN9250F1187_F:OUI:FR:Line::2FFF7F96-0EBC-4AA1-B417-38EBD492057E::83016451:87686006:7:2313:20260906;;9250;-1;MILANO PORTA GARIBALDI;;;2026-08-01 16:10:00;0.0;2026-08-02 00:06:05;2026-08-02 00:11:16
OCESN9250F1187_F:OUI:FR:Line::2FFF7F96-0EBC-4AA1-B417-38EBD492057E::83016451:87686006:7:2313:20260906;;9250;-1;Turin Porta Susa;2026-08-01 17:39:00;0.0;2026-08-01 17:41:00;0.0;2026-08-02 00:06:05;2026-08-02 00:11:16
OCESN9250F1187_F:OUI:FR:Line::2FFF7F96-0EBC-4AA1-B417-38EBD492057E::83016451:87686006:7:2313:20260906;;9250;-1;OULX CESANA CLAVIERE SESTRIERE;2026-08-01 18:32:00;0.0;2026-08-01 18:34:00;0.0;2026-08-02 00:06:05;2026-08-02 00:11:16
OCESN9250F1187_F:OUI:FR:Line::2FFF7F96-0EBC-4AA1-B417-38EBD492057E::83016451:87686006:7:2313:20260906;;9250;-1;Modane;2026-08-01 19:03:00;0.0;2026-08-01 19:16:00;0.0;2026-08-02 00:06:05;2026-08-02 00:11:16
OCESN9250F1187_F:OUI:FR:Line::2FFF7F96-0EBC-4AA1-B417-38EBD492057E::83016451:87686006:7:2313:20260906;;9250;-1;Chambéry - Challes-les-Eaux;2026-08-01 20:19:00;0.0;2026-08-01 20:24:00;0.0;2026-08-02 00:06:05;2026-08-02 00:11:16
OCESN9250F1187_F:OUI:FR:Line::2FFF7F96-0EBC-4AA1-B417-38EBD492057E::83016451:87686006:7:2313:20260906;;9250;-1;Mâcon - Loché TGV;2026-08-01 21:41:00;300.0;2026-08-01 21:44:00;300.0;2026-08-02 00:06:05;2026-08-02 00:11:16
OCESN9250F1187_F:OUI:FR:Line::2FFF7F96-0EBC-4AA1-B417-38EBD492057E::83016451:87686006:7:2313:20260906;;9250;-1;Paris Gare de Lyon Hall 1 - 2;2026-08-02 00:03:00;3000.0;;;2026-08-02 00:06:05;2026-08-02 00:11:16
OCESN9706F1187_F:OUI:FR:Line::6667353C-75C7-4A33-8ADE-EBA7FFC003C6::71718010:87686006:12:2319:20260802;;9706;-1;Barcelone-Sants;;;2026-08-01 16:24:00;0.0;2026-08-02 00:06:05;2026-08-02 00:11:16
OCESN9706F1187_F:OUI:FR:Line::6667353C-75C7-4A33-8ADE-EBA7FFC003C6::71718010:87686006:12:2319:20260802;;9706;-1;GIRONA;2026-08-01 17:05:00;0.0;2026-08-01 17:08:00;0.0;2026-08-02 00:06:05;2026-08-02 00:11:16
OCESN9706F1187_F:OUI:FR:Line::6667353C-75C7-4A33-8ADE-EBA7FFC003C6::71718010:87686006:12:2319:20260802;;9706;-1;FIGUERES-VILAFANT;2026-08-01 17:23:00;0.0;2026-08-01 17:26:00;0.0;2026-08-02 00:06:05;2026-08-02 00:11:16
OCESN9706F1187_F:OUI:FR:Line::6667353C-75C7-4A33-8ADE-EBA7FFC003C6::71718010:87686006:12:2319:20260802;;9706;-1;Perpignan;2026-08-01 17:49:00;0.0;2026-08-01 18:09:00;600.0;2026-08-02 00:06:05;2026-08-02 00:11:16
OCESN9706F1187_F:OUI:FR:Line::6667353C-75C7-4A33-8ADE-EBA7FFC003C6::71718010:87686006:12:2319:20260802;;9706;-1;Narbonne;2026-08-01 18:43:00;600.0;2026-08-01 18:46:00;600.0;2026-08-02 00:06:05;2026-08-02 00:11:16
OCESN9706F1187_F:OUI:FR:Line::6667353C-75C7-4A33-8ADE-EBA7FFC003C6::71718010:87686006:12:2319:20260802;;9706;-1;Béziers;2026-08-01 19:00:00;600.0;2026-08-01 19:03:00;600.0;2026-08-02 00:06:05;2026-08-02 00:11:16
OCESN9706F1187_F:OUI:FR:Line::6667353C-75C7-4A33-8ADE-EBA7FFC003C6::71718010:87686006:12:2319:20260802;;9706;-1;Agde;2026-08-01 19:16:00;600.0;2026-08-01 19:19:00;600.0;2026-08-02 00:06:05;2026-08-02 00:11:16
OCESN9706F1187_F:OUI:FR:Line::6667353C-75C7-4A33-8ADE-EBA7FFC003C6::71718010:87686006:12:2319:20260802;;9706;-1;Sète;2026-08-01 19:32:00;600.0;2026-08-01 19:35:00;600.0;2026-08-02 00:06:05;2026-08-02 00:11:16
OCESN9706F1187_F:OUI:FR:Line::6667353C-75C7-4A33-8ADE-EBA7FFC003C6::71718010:87686006:12:2319:20260802;;9706;-1;Montpellier Saint-Roch;2026-08-01 19:51:00;600.0;2026-08-01 20:00:00;600.0;2026-08-02 00:06:05;2026-08-02 00:11:16
OCESN9706F1187_F:OUI:FR:Line::6667353C-75C7-4A33-8ADE-EBA7FFC003C6::71718010:87686006:12:2319:20260802;;9706;-1;Nîmes Centre;2026-08-01 20:25:00;600.0;2026-08-01 20:29:00;600.0;2026-08-02 00:06:05;2026-08-02 00:11:16
OCESN9706F1187_F:OUI:FR:Line::6667353C-75C7-4A33-8ADE-EBA7FFC003C6::71718010:87686006:12:2319:20260802;;9706;-1;Valence TGV Rhône-Alpes Sud;2026-08-01 21:19:00;900.0;2026-08-01 21:22:00;900.0;2026-08-02 00:06:05;2026-08-02 00:11:16
OCESN9706F1187_F:OUI:FR:Line::6667353C-75C7-4A33-8ADE-EBA7FFC003C6::71718010:87686006:12:2319:20260802;;9706;-1;Paris Gare de Lyon Hall 1 - 2;2026-08-02 00:04:00;2700.0;;;2026-08-02 00:06:05;2026-08-02 00:11:16
