collecte_horodatage;trip_id;stop_id_rt;arrival_time;arrival_delay_sec;departure_time;departure_delay_sec;trip_route_id;trip_service_id;trip_trip_id;trip_trip_headsign;trip_direction_id;trip_block_id;trip_shape_id;route_route_id;route_agency_id;route_route_short_name;route_route_long_name;route_route_desc;route_route_type;route_route_url;route_route_color;route_route_text_color;stop_stop_id;stop_stop_name;stop_stop_desc;stop_stop_lat;stop_stop_lon;stop_zone_id;stop_stop_url;stop_location_type;stop_parent_station
2026-07-30 11:51:50;OCESN5521F1187_F:OUI:FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9::87192039:87773002:11:1252:20261212;StopPoint:OCETGV INOUI-87725002;2026-07-30 11:54:00;7200;2026-07-30 11:57:00;7200;FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:;003038;OCESN5521F1187_F:OUI:FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9::87192039:87773002:11:1252:20261212;5521;1;12122;;FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:;1187;071B;Lux/Alsace/Loraine - LR;;2;;;;StopPoint:OCETGV INOUI-87725002;Chalon-sur-Saône;;46.78162200;4.843479000;;;0;StopArea:OCE87725002
2026-07-30 11:51:50;OCESN5521F1187_F:OUI:FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9::87192039:87773002:11:1252:20261212;StopPoint:OCETGV INOUI-87723197;2026-07-30 12:59:00;7200;2026-07-30 13:05:00;7200;FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:;003038;OCESN5521F1187_F:OUI:FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9::87192039:87773002:11:1252:20261212;5521;1;12122;;FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:;1187;071B;Lux/Alsace/Loraine - LR;;2;;;;StopPoint:OCETGV INOUI-87723197;Lyon Part Dieu;;45.76059600;4.859409000;;;0;StopArea:OCE87723197
2026-07-30 11:51:50;OCESN5521F1187_F:OUI:FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9::87192039:87773002:11:1252:20261212;StopPoint:OCETGV INOUI-87775007;2026-07-30 14:22:00;7200;2026-07-30 14:25:00;7200;FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:;003038;OCESN5521F1187_F:OUI:FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9::87192039:87773002:11:1252:20261212;5521;1;12122;;FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:;1187;071B;Lux/Alsace/Loraine - LR;;2;;;;StopPoint:OCETGV INOUI-87775007;Nîmes Centre;;43.83231300;4.365872000;;;0;StopArea:OCE87775007
2026-07-30 11:51:50;OCESN5521F1187_F:OUI:FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9::87192039:87773002:11:1252:20261212;StopPoint:OCETGV INOUI-87773002;2026-07-30 14:52:00;7200;;;FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:;003038;OCESN5521F1187_F:OUI:FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9::87192039:87773002:11:1252:20261212;5521;1;12122;;FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:;1187;071B;Lux/Alsace/Loraine - LR;;2;;;;StopPoint:OCETGV INOUI-87773002;Montpellier Saint-Roch;;43.60473800;3.880674000;;;0;StopArea:OCE87773002
2026-07-30 11:51:50;OCESN5202F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87286005:87581009:11:1202:20260816;StopPoint:OCETGV INOUI-87583005;2026-07-30 11:27:00;300;2026-07-30 11:30:00;300;FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89:;002778;OCESN5202F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87286005:87581009:11:1202:20260816;5202;1;11437;;FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89:;1187;003A;Nord Aquitaine TGV;;2;;;;StopPoint:OCETGV INOUI-87583005;Angoulême;;45.65357200;0.164608000;;;0;StopArea:OCE87583005
2026-07-30 11:51:50;OCESN5202F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87286005:87581009:11:1202:20260816;StopPoint:OCETGV INOUI-87581009;2026-07-30 12:07:00;300;;;FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89:;002778;OCESN5202F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87286005:87581009:11:1202:20260816;5202;1;11437;;FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89:;1187;003A;Nord Aquitaine TGV;;2;;;;StopPoint:OCETGV INOUI-87581009;Bordeaux Saint-Jean;;44.82587300;-0.55669700;;;0;StopArea:OCE87581009
2026-07-30 11:51:50;OCESN8571F1187_F:OUI:FR:Line::2881AC3D-A347-4440-BEF8-23ACAB159588::87391003:87671008:4:1151:20260730;StopPoint:OCETGV INOUI-87581009;2026-07-30 08:58:00;600;2026-07-30 08:59:00;300;FR:Line::2881AC3D-A347-4440-BEF8-23ACAB159588:;000049;OCESN8571F1187_F:OUI:FR:Line::2881AC3D-A347-4440-BEF8-23ACAB159588::87391003:87671008:4:1151:20260730;8571;1;27919;;FR:Line::2881AC3D-A347-4440-BEF8-23ACAB159588:;1187;421B;Paris - Tarbes TGV;;2;;;;StopPoint:OCETGV INOUI-87581009;Bordeaux Saint-Jean;;44.82587300;-0.55669700;;;0;StopArea:OCE87581009
2026-07-30 11:51:50;OCESN8571F1187_F:OUI:FR:Line::2881AC3D-A347-4440-BEF8-23ACAB159588::87391003:87671008:4:1151:20260730;StopPoint:OCETGV INOUI-87671008;2026-07-30 12:41:00;3000;;;FR:Line::2881AC3D-A347-4440-BEF8-23ACAB159588:;000049;OCESN8571F1187_F:OUI:FR:Line::2881AC3D-A347-4440-BEF8-23ACAB159588::87391003:87671008:4:1151:20260730;8571;1;27919;;FR:Line::2881AC3D-A347-4440-BEF8-23ACAB159588:;1187;421B;Paris - Tarbes TGV;;2;;;;StopPoint:OCETGV INOUI-87671008;Tarbes;;43.23986300;0.069442000;;;0;StopArea:OCE87671008
2026-07-30 11:51:50;OCESN9810F1187_F:OUI:FR:Line::A6C76228-9224-4C48-8B92-80FC80F093E2::88140010:87751008:9:1224:20260805;StopPoint:OCETGV INOUI-88140010;;;2026-07-30 06:42:00;300;FR:Line::A6C76228-9224-4C48-8B92-80FC80F093E2:;009198;OCESN9810F1187_F:OUI:FR:Line::A6C76228-9224-4C48-8B92-80FC80F093E2::88140010:87751008:9:1224:20260805;9810;0;48327;;FR:Line::A6C76228-9224-4C48-8B92-80FC80F093E2:;1187;001B;Lille - Mediterranee TGV;;2;;;;StopPoint:OCETGV INOUI-88140010;Bruxelles Midi;;50.83600000;4.336000000;;;0;StopArea:OCE88140010
2026-07-30 11:51:50;OCESN9810F1187_F:OUI:FR:Line::A6C76228-9224-4C48-8B92-80FC80F093E2::88140010:87751008:9:1224:20260805;StopPoint:OCETGV INOUI-87223263;2026-07-30 07:17:00;300;2026-07-30 07:28:00;300;FR:Line::A6C76228-9224-4C48-8B92-80FC80F093E2:;009198;OCESN9810F1187_F:OUI:FR:Line::A6C76228-9224-4C48-8B92-80FC80F093E2::88140010:87751008:9:1224:20260805;9810;0;48327;;FR:Line::A6C76228-9224-4C48-8B92-80FC80F093E2:;1187;001B;Lille - Mediterranee TGV;;2;;;;StopPoint:OCETGV INOUI-87223263;Lille Europe;;50.63940000;3.075721000;;;0;StopArea:OCE87223263
