trip_id;numero_train;destination;stop_sequence;gare;arrival_time;departure_time;derniere_maj;heure_detection_fin_trajet;arrival_delay_min;departure_delay_min
OCESN8370F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87485003:87391003:6:840:20261212;;8370;-1;Poitiers;2026-08-11 07:08:00;2026-08-11 07:24:00;2026-08-11 08:50:44;2026-08-11 08:55:36;0;10
OCESN8370F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87485003:87391003:6:840:20261212;;8370;-1;Paris Montparnasse Hall 1 - 2;2026-08-11 08:50:00;;2026-08-11 08:50:44;2026-08-11 08:55:36;10;
OCESN8480F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:840:20260912;;8480;-1;Bordeaux Saint-Jean;;2026-08-11 05:18:00;2026-08-11 08:50:44;2026-08-11 08:55:36;;0
OCESN8480F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:840:20260912;;8480;-1;Angoulême;2026-08-11 06:22:00;2026-08-11 06:40:00;2026-08-11 08:50:44;2026-08-11 08:55:36;0;15
OCESN8480F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:840:20260912;;8480;-1;Poitiers;2026-08-11 07:19:00;2026-08-11 07:24:00;2026-08-11 08:50:44;2026-08-11 08:55:36;15;10
OCESN8480F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:840:20260912;;8480;-1;Paris Montparnasse Hall 1 - 2;2026-08-11 08:50:00;;2026-08-11 08:50:44;2026-08-11 08:55:36;10;
OCESN8308F1187_F:OUI:FR:Line::B5CF3630-53A0-4E1C-BF67-9B0EC6B69C5E::87571000:87391003:3:907:20261211;;8308;-1;Paris Montparnasse Hall 1 - 2;2026-08-11 09:12:00;;2026-08-11 09:15:43;2026-08-11 09:20:45;5;
OCESN8803F1187_F:OUI:FR:Line::62C16406-4390-4C30-B97A-94317527CF00::87391003:87481002:4:954:20261105;;8803;-1;Paris Montparnasse Hall 1 - 2;;2026-08-11 07:48:00;2026-08-11 10:01:06;2026-08-11 10:05:38;;0
OCESN8803F1187_F:OUI:FR:Line::62C16406-4390-4C30-B97A-94317527CF00::87391003:87481002:4:954:20261105;;8803;-1;Sablé-sur-Sarthe;2026-08-11 08:56:00;2026-08-11 08:59:00;2026-08-11 10:01:06;2026-08-11 10:05:38;5;5
OCESN8803F1187_F:OUI:FR:Line::62C16406-4390-4C30-B97A-94317527CF00::87391003:87481002:4:954:20261105;;8803;-1;Angers Saint-Laud;2026-08-11 09:19:00;2026-08-11 09:22:00;2026-08-11 10:01:06;2026-08-11 10:05:38;5;5
OCESN8803F1187_F:OUI:FR:Line::62C16406-4390-4C30-B97A-94317527CF00::87391003:87481002:4:954:20261105;;8803;-1;Nantes;2026-08-11 09:59:00;;2026-08-11 10:01:06;2026-08-11 10:05:38;5;
OCESN8081F1187_F:OUI:FR:Line::18B0FAF0-44B1-4D0A-A8AD-2E32B7602EAD::87391003:87478107:6:955:20260829;;8081;-1;Paris Montparnasse Hall 1 - 2;;2026-08-11 07:01:00;2026-08-11 10:10:48;2026-08-11 10:15:47;;0
OCESN8081F1187_F:OUI:FR:Line::18B0FAF0-44B1-4D0A-A8AD-2E32B7602EAD::87391003:87478107:6:955:20260829;;8081;-1;Rennes;2026-08-11 09:19:00;2026-08-11 09:23:00;2026-08-11 10:10:48;2026-08-11 10:15:47;15;15
OCESN5380F1187_F:OUI:FR:Line::8753D4FA-06CF-49A8-B412-13F55FD4A1A8::87722025:87471003:6:1030:20260814;;5380;-1;Massy TGV;2026-08-11 08:34:00;2026-08-11 08:42:00;2026-08-11 10:45:41;2026-08-11 10:50:46;0;0
OCESN5380F1187_F:OUI:FR:Line::8753D4FA-06CF-49A8-B412-13F55FD4A1A8::87722025:87471003:6:1030:20260814;;5380;-1;Le Mans;2026-08-11 09:34:00;2026-08-11 09:38:00;2026-08-11 10:45:41;2026-08-11 10:50:46;5;5
OCESN5380F1187_F:OUI:FR:Line::8753D4FA-06CF-49A8-B412-13F55FD4A1A8::87722025:87471003:6:1030:20260814;;5380;-1;Rennes;2026-08-11 10:40:00;;2026-08-11 10:45:41;2026-08-11 10:50:46;10;
OCESN5260F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87581009:87286005:8:1040:20260813;;5260;-1;Bordeaux Saint-Jean;;2026-08-11 05:58:00;2026-08-11 10:50:47;2026-08-11 10:55:43;;0
OCESN5260F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87581009:87286005:8:1040:20260813;;5260;-1;Angoulême;2026-08-11 06:38:00;2026-08-11 06:41:00;2026-08-11 10:50:47;2026-08-11 10:55:43;5;5
